1,Karalee,Rhoddie,Peru,Ilo,Female
2,Donn,Kerfoot,Philippines,Magarao,Male
3,Myrtie,Roome,Oman,Ibrā’,Female
4,Rafi,Seilmann,Colombia,Bello,Male
5,Teador,Kapiloff,Brazil,Caieiras,Male
6,Brigitte,Piesold,Kenya,Marsabit,Female
7,Dacy,Rubertis,Russia,Krasnaya Polyana,Female
8,Bevan,Pues,Portugal,Barreiras,Male
9,Georgetta,Swatheridge,Slovenia,Lenart v Slov. Goricah,Female
10,Sigismondo,McGarrie,China,Chaoyang,Male
11,Sibylla,Coton,Portugal,Ourentã,Female
12,Aluino,Carlucci,Nicaragua,La Paz de Oriente,Male
13,Ermina,Wiltsher,Russia,Chita,Female
14,Wildon,Rosthorn,Sweden,Lysekil,Male
15,Aili,Colenutt,Philippines,Alabug,Female
16,Reggy,Alishoner,United States,Boston,Male
17,Winni,Mountford,Sweden,Kristianstad,Female
18,Iggie,Crix,Peru,Ondores,Male
19,Kinsley,Morit,Philippines,Dacudao,Male
20,Faustine,Schaben,China,Beihe,Female
21,Joseito,Matysik,China,Guluoshan,Male
22,Pincus,Berlin,Philippines,Puro,Male
23,Yoko,Diaper,Brazil,Biguaçu,Female
24,Jamil,Feitosa,Indonesia,Singosari,Male
25,Norman,Roycroft,Russia,Piterka,Male
26,Tracee,Van Der Weedenburg,Indonesia,Ciekek,Female
27,Daniela,Lindborg,Indonesia,Kototujuh,Female
28,Killie,Pickring,Tanzania,Konde,Male
29,Freda,Kirman,Bulgaria,Zlatni Pyasatsi,Female
30,Barbey,Espadater,Finland,Kortesjärvi,Female
31,Mark,Scrowton,France,Béziers,Male
32,Anneliese,Ginglell,China,Yushugou,Female
33,Nikos,Lawdham,Philippines,Claver,Male
34,Robinett,Biers,Hungary,Budapest,Female
35,Edouard,Tripean,Panama,Nueva Gorgona,Male
36,Rozanne,Putman,Indonesia,Krajan Kedungsalam,Female
37,Dyann,Syres,Iran,Sūrak,Female
38,Scotty,Singyard,Cuba,Bartolomé Masó,Male
39,Lona,Coney,Japan,Yokotemachi,Female
40,Sada,Dmitrienko,Portugal,Chãos,Female
41,Celka,Hansom,Russia,Vidnoye,Female
42,Genovera,Godby,Poland,Szydłowo,Female
43,Billi,Abelwhite,Senegal,Richard-Toll,Female
44,Sayres,Windram,Poland,Parchowo,Male
45,Jessalyn,Gilmartin,Russia,Novogurovskiy,Female
46,Flem,Pirson,United Kingdom,Norton,Male
47,Antone,Tudbald,Luxembourg,Bech,Male
48,Wini,Snoxall,Brazil,Buíque,Female
49,Scarlet,Pennycuick,Latvia,Aizkraukle,Female
50,Joey,Wilce,Indonesia,Wringinputih,Male
